run_number,clean,corrupted,restored_token,restored
0, Seattle, is,0,"[',', ',', ' Los', '.', ' Los', '\n', '.', ',', ' Houston', ' is', '.', ' Minneapolis', ' Toronto', ',', ' and', ',', ' San', ',', '.', ',', ' Seattle', ' Toronto', ',']"
0, Seattle, is,1,"[' Seattle', ',', ' Mumbai', '.', ' Toronto', '\n', '.', ' Toronto', ',', '.', ' Washington', ' Los', ',', '.', ' is', '.', ' is', ' is', ' Chicago', '.', '.', ' Edmonton', ',']"
0, Seattle, is,2,"[' Need', '.', '.', ' is', ' downtown', '.', '.', ' Toronto', ' is', '!', '.', ' Houston', '.', '.', ',', ' Houston', ' L', '.', ' Washington', ' Chicago', '\n', '.', ' is']"
0, Seattle, is,3,"['.', '.', ' is', ' downtown', '.', ' Toronto', ' downtown', ' Toronto', ' Chicago', ' Minneapolis', ',', '.', ' Denver', ' is', ' Detroit', '\n', '.', ',', ' Chicago', ' Toronto', '.', ',', ' Los']"
1, Seattle,",",0,"[' Seattle', ' Manhattan', ',', ',', ""'s"", '.', ' Toronto', ',', ',', ' in', ' Los', ',', ',', ' Los', ' Washington', ' Toronto', '.', '.', '.', ',', ' is', ' is', '.']"
1, Seattle,",",1,"[' Denver', ',', '.', ' Seattle', ' is', ',', '.', ',', ',', ' Houston', ' is', '.', '.', ' Seattle', '.', ' San', ' is', ' Los', ',', ' is', ' is', ' the', ' New']"
1, Seattle,",",2,"[',', ',', '\n', ' is', ' Seattle', ' Toronto', ' Los', ' Vancouver', '.', ' Seattle', '.', ' is', '.', ' San', ' is', ' San', ' Detroit', '\n', ' is', ',', '\n', ' is', '.']"
1, Seattle,",",3,"[' is', ' Toronto', '!', ' a', '\n', ' Seattle', ' San', '.', ' Seattle', ' Seattle', ' Seattle', ' downtown', ' Chicago', ' is', ' Seattle', ')', ' Seattle', '.', ' Toronto', ' downtown', ' Seattle', ' Toronto', ',']"
2, Seattle,.,0,"['.""', '.', ' to', '.', ',', '.', '?', '.', ' is', ' Manhattan', ',', ' is', ' Seattle', ',', ' San', ' Toronto', ' Houston', ' is', '.', ' Houston', ' to', ' Toronto', '.']"
2, Seattle,.,1,"[' Toronto', ' in', '.', ',', ',', ' Denver', '.', ' is', ' Seattle', ',', '.', ' of', ',', ',', ' Halifax', ' is', ' London', ' Seattle', ',', ' Seattle', '.', '.', ' Denver']"
2, Seattle,.,2,"[' is', ' Los', ' Toronto', ' area', ' Toronto', ',', '.', ' in', ' is', ' Atlanta', ',', '?', ' Seattle', ' Toronto', '.', '.', ' Seattle', ' San', '.', ' Toronto', '.', '.', ' Manhattan']"
2, Seattle,.,3,"[' Seattle', ' is', '\n', ' Toronto', '.', ' Manhattan', ' Toronto', ' Los', ',', '.', ',', '.', ' Seattle', ' Chicago', ' is', '.', ' Seattle', ' San', ' Chicago', '.', '.', ' Atlanta', ' Paris']"
3, Seattle, Seattle,0,"[' as', ' Los', '.', ' Chicago', ',', ' Chicago', ' Seattle', ',', '.', ' Toronto', '.', ' Chicago', ' Toronto', '?', ' to', ' Toronto', ' Toronto', ' San', ',', ',', ' New', '.', ' Denver']"
3, Seattle, Seattle,1,"['.', '?', '.', ' Los', ',', '.', ' Los', ' San', ' Houston', ' is', '.', ' Toronto', '.', ' Seattle', ' and', ' is', ' Seattle', ' Seattle', ',', ' Atlanta', '.', ' Toronto', '.']"
3, Seattle, Seattle,2,"[' Seattle', ' Toronto', ',', ' Seattle', ' Toronto', ',', ',', '?', ' is', '.', ' Los', ',', ' is', '.', ',', '.', ' Chicago', ' Houston', '.', ' San', ')', ' is', '.']"
3, Seattle, Seattle,3,"[',', ' Houston', '.', '.', '.', ' is', ',', ',', ',', ' Denver', ' Seattle', ')', ',', ' is', ' Minneapolis', ',', '.', ' Chicago', ' downtown', ' Seattle', ' Washington', '.', ',']"
4, Seattle, is,0,"[' Toronto', ' Los', ',', ',', ',', '.', ' is', '.', ',', ' Denver', '.', '.', ' Houston', ' to', ',', ' the', ' Seattle', ' is', ' is', ' Toronto', '.', ' downtown', ',']"
4, Seattle, is,1,"[' is', ' Toronto', '.', ' Seattle', '.', ' in', '.', '.', ' downtown', ' is', ',', ' London', ',', ',', ',', ' Houston', '""', '.', 's', ' downtown', ' is', ' Seattle', ' Seattle']"
