run_number,clean,corrupted,restored_token,restored
0, Paris, the,0,"[' the', ' the', ' fact', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the']"
0, Paris, the,1,"[' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the']"
0, Paris, the,2,"[' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' is', ' the', ' the', ' the']"
1, Paris, the,0,"[' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' tower', ' the']"
1, Paris, the,1,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' London', ' the', ' the', ' the', ' the', 'R', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the']"
1, Paris, the,2,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', '\n', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
2, Paris, the,0,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
2, Paris, the,1,"[' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' fact', ' the', ' the', ' Tower', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the']"
2, Paris, the,2,"[';', ' the', ' Middle', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
3, Paris, the,0,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
3, Paris, the,1,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' I', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
3, Paris, the,2,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
4, Paris, the,0,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' is', ' the', ' the', ' the', ' the', ' the']"
4, Paris, the,1,"[' the', ' the', ' fact', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', '.', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
4, Paris, the,2,"[' the', ' the', ' the', ' the', ' the', ' in', ' the', ' the', ' the', ' Ant', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
5, Paris, his,0,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower']"
5, Paris, his,1,"[' the', ' the', ' the', ' the', ' charge', ' the', ' the', ' Practice', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' a', ' the', ' the', ' the', ' the']"
5, Paris, his,2,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
6, Paris, the,0,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', '.', ' the', ' the', ' the', ' the', ' the', ' a']"
6, Paris, the,1,"[' the', ' the', ' the', ' the', ' a', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' in', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
6, Paris, the,2,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' is', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
7, Paris, the,0,"[' fact', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
7, Paris, the,1,"[' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' Tower', ' the']"
