run_number,clean,corrupted,restored_token,restored
0, basketball, the,0,"[' basketball', ' football', ' the', ' football', ' the', ' the', ' basketball', ' the', ' the', ' football', ' the', ' the', ' the', ' professional', ' the', ' football', ' the', ' the', ' the', ' the', ' football', ' the', ' the']"
0, basketball, the,1,"[' football', ' football', ' the', ' the', ' football', ' play', ' golf', ' the', ' basketball', ' the', ' the', ' sport', ' the', ' football', ' football', ' the', ' football', ' the', ' the', ' sports', ' the', ' the', ' the']"
0, basketball, the,2,"[' football', ' the', ' the', ' football', ' football', ' the', ' the', ' basketball', ' football', ' the', ' course', ' basketball', ' soccer', ' football', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' football', ' ""']"
1, basketball, professional,0,"[' football', ' the', ' football', ' the', ' the', ' the', ' the', ' the', ' the', ' soccer', ' the', ' football', ' the', ' the', '\n', ' basketball', ' the', ' the', ' the', ' football', ' the', ' the', ' the']"
1, basketball, professional,1,"[' basketball', ' basketball', ' football', ' football', ' football', ' professional', ' the', ' professional', ' football', ' the', ' professional', ' tennis', ' the', ' the', ' the', ' football', ' his', ' the', ' soccer', ' the', ' hockey', ' football', ' football']"
1, basketball, professional,2,"[' the', ' professional', ' the', ' the', ' the', ' the', ' the', ' the', ' choice', ' tennis', ' the', ' the', ' the', ' football', ' football', ' football', ' football', ' football', ' the', ' the', ' football', ' the', ' the']"
2, basketball, the,0,"[' the', ' the', ' football', ' football', ' the', ' football', ' sports', ' the', ' the', ' basketball', ' the', ' basketball', ' the', ' the', ' football', ' the', ' football', ' football', ' football', ' professional', ' the', ' sports', ' interest']"
2, basketball, the,1,"[' the', ' football', ' choice', ' hockey', ' the', ' the', ' football', ' the', ' the', ' the', ' football', ' the', ' soccer', ' the', ' soccer', ' the', ' soccer', ' the', ' the', ' the', ' the', ' a', ' the']"
2, basketball, the,2,"[' football', ' football', ' basketball', ' the', ' the', ' the', ' football', ' the', ' the', ' the', ' the', ' football', ' baseball', ' the', ' the', ' the', ' the', ' the', ' sport', ' football', ' chess', ' the', ' the']"
3, basketball, the,0,"[' basketball', ' football', ' the', ' the', ' the', ' football', ' football', ' the', ' football', ' golf', ' football', ' playing', ' football', ' professional', ' football', ' the', ' football', ' football', ' the', ' basketball', ' the', ' the', ' football']"
3, basketball, the,1,"[' football', ' the', ' basketball', ' the', ' the', ' football', ' the', ' football', ' soccer', ' football', ' the', ' golf', ' professional', ' the', ' professional', ' the', ' the', ' the', ' basketball', ' football', ' the', ' basketball', ' the']"
3, basketball, the,2,"[' football', ' football', ' the', ' the', ' football', ' the', ' the', ' the', ' football', ' rugby', ' the', ' the', ' the', ' sports', ' the', ' tennis', ' professional', ' basketball', ' the', ' the', ' the', ' sports', '...']"
4, basketball, soccer,0,"[' the', ' football', ' football', ' the', ' the', ' basketball', ' the', ' the', ' football', ' the', ' the', ' the', ' the', ' the', ' professional', ' the', ' the', ' professional', ' the', ' football', ' the', ' the', ' the']"
4, basketball, soccer,1,"[' the', ' football', ' the', ' the', ' the', ' football', ' the', ' basketball', ' football', ' golf', ' professional', ' the', ' the', ' the', ' the', ' soccer', ' the', ' the', ' football', ' golf', ' the', ' basketball', ' football']"
4, basketball, soccer,2,"[' the', ' basketball', ' football', ' football', ' the', ' basketball', ' the', ' the', ' the', ' the', ' the', ' football', ' the', ' the', ' professional', ' the', ' the', ' football', ' football', ' basketball', ' football', ' the', ' basketball']"
5, basketball, professional,0,"[' sports', ' basketball', ' sport', ' the', ' their', ' golf', ' the', ' football', ' the', ' the', ' football', ' professional', ' the', ' the', ' ""', ' the', ' football', ' the', ' football', ' the', ' the', ' the', ' the']"
5, basketball, professional,1,"[' football', ' the', ' the', ' the', ' politics', ' golf', ' football', ' football', ' tennis', ' football', ' basketball', ' football', ' the', ' professional', ' the', ' the', ' the', ' football', ' football', ' the', ' soccer', ' football', ' the']"
5, basketball, professional,2,"[' football', ' golf', ' the', ' the', ' basketball', ' the', ' the', ' the', ' chess', ' the', ' the', ' the', ' cricket', ' professional', ' the', ' the', ' the', ' football', ' the', ' the', ' the', ' basketball', ' the']"
6, basketball, sport,0,"[' football', ' the', ' basketball', ' the', ' football', ' the', ' football', ' the', ' the', ' sport', ' the', ' the', ' football', ' football', ' a', ' the', ' the', ' the', ' the', ' the', ' football', ' football', ' the']"
6, basketball, sport,1,"[' sports', ' professional', ' football', ' the', ' football', ' the', ' sport', ' the', ' football', ' the', ' ""', ' the', ' football', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the', ' the']"
6, basketball, sport,2,"[' sports', ' football', ' the', ' the', ' the', ' the', ' her', ' the', ' the', ' the', ' football', ' the', ' football', ' professional', ' the', ' the', ' the', ' the', ' a', ' the', ' the', ' basketball', ' Mult']"
7, basketball, the,0,"[' football', ' the', ' the', ' the', ' football', ' golf', ' hockey', ' ""', ' the', ' football', ' football', ' football', ' the', ' the', ' football', ' football', ' the', ' sport', ' professional', ' football', ' being', ' the', ' the']"
7, basketball, the,1,"[' football', ' the', ' the', ' the', ' the', ' the', ' soccer', ' the', ' football', ' sport', ' football', ' the', ' the', ' football', ' the', ' the', ' golf', ' the', ' the', ' football', ' the', ' the', ' the']"
7, basketball, the,2,"[' football', ' the', ' the', ' the', ' football', ' the', ' football', ' football', ' the', ' the', ' being', ' the', ' football', ' the', ' the', ' football', ' the', ' sports', ' the', ' football', ' the', ' baseball', ' the']"
8, basketball, football,0,"[' professional', ' football', ' the', ' basketball', ' basketball', ' the', ' the', ' the', ' the', ' football', ' the', ' football', ' the', ' the', ' the', ' football', ' football', ' the', ' the', ' football', ' the', ' football', ' the']"
8, basketball, football,1,"[' baseball', ' the', ' plays', ' golf', ' basketball', ' football', ' football', ' the', ' the', ' the', ' the', ' football', ' football', ' the', ' the', ' the', ' football', ' the', ' professional', ' the', ' hockey', ' the', ' the']"
8, basketball, football,2,"[' hockey', ' football', ' the', ' the', ' football', ' the', ' the', ' football', ' the', ' the', ' baseball', ' football', ' the', ' football', ' football', ' the', ' football', ' the', ' the', ' the', ' the', ' the', ' the']"
9, basketball, the,0,"[' football', ' football', ' basketball', ' the', ' the', ' the', ' the', ' football', ' the', ' football', ' the', ' the', ' the', ' basketball', ' the', ' the', ' the', ' baseball', ' the', ' sport', ' basketball', ' the', ' the']"
9, basketball, the,1,"[' the', ' football', ' football', ' golf', ' basketball', ' the', ' the', ' football', ' the', ' the', ' football', ' football', ' football', ' the', ' the', ' the', ' the', ' the', ' sport', ' football', ' professional', ' the', ' soccer']"
9, basketball, the,2,"[' the', ' the', ' soccer', ' the', ' football', ' playing', ' football', ' football', ' the', ' the', ' football', ' the', ' soccer', ' football', ' the', ' the', ' the', ' the', ' the', ' football', ' the', ' soccer', ' the']"
10, basketball, football,0,"[' the', ' the', ' football', ' football', ' the', ' the', ' the', ' football', ' the', ' the', ' the', ' hockey', ' the', ' the', ' football', ' the', ' football', ' the', ' the', ' the', ' football', ' football', ' the']"
10, basketball, football,1,"[' basketball', ' basketball', ' the', ' being', ' the', ' football', ' the', ' the', ' their', ' basketball', ' the', ' football', ' the', ' the', ' basketball', ' soccer', ' the', ' the', ' the', ' the', ' the', ' choice', ' the']"
10, basketball, football,2,"[' the', ' football', ' football', ' the', ' the', ' the', ' baseball', ' the', ' the', ' the', ' the', ' the', ' golf', ' the', ' professional', ' football', ' the', ' football', ' the', ' football', ' the', ' football', ' sport']"
11, basketball, the,0,"[' the', ' football', ' football', ' football', ' the', ' football', ' football', ' the', ' the', ' the', ' football', ' the', ' the', ' the', ' basketball', ' playing', ' soccer', ' the', ' the', ' sport', ' football', ' the', ' the']"
11, basketball, the,1,"[' the', ' sports', ' the', ' sports', ' playing', ' the', ' the', ' the', ' the', ' professional', ' football', ' sport', ' sport', ' football', ' the', ' sport', ' football', ' the', ' the', ' course', ' football', ' the', ' the']"
